AZA.ST,AZN.ST,GETI-B.ST,HM-B.ST,ICA.ST,SCA-B.ST,SEB-A.ST,SSAB-A.ST
134.938583,270.780853,131.303268,158.945297,66.154198,8.046049,32.113598,70.882942
127.752487,268.444916,124.986649,153.294281,61.197262,7.708016,30.394028,65.423096
130.547104,266.015564,125.745071,154.886108,61.868164,7.712465,30.92197,65.28067
124.957924,257.793091,117.743698,151.622849,60.489136,7.156506,29.2024,60.10569
126.155579,257.325928,122.79715,154.328979,59.482838,7.16985,29.858553,62.574486
129.349396,251.626221,120.606743,153.453476,61.271797,7.11647,27.995693,58.538956
127.752487,264.894348,124.565895,157.592239,63.917976,7.534574,29.149611,63.571495
128.550949,275.078949,127.261032,160.69635,66.82502,7.632394,29.918888,64.521034
133.341675,278.068939,128.944916,160.53717,69.471191,7.819225,30.476994,65.328148
129.349396,277.321411,128.944916,162.208588,68.166733,7.632394,30.273361,63.144207
126.155579,279.563995,130.460861,164.755524,68.576744,7.57016,29.843473,63.618973
116.57415,270.220245,125.239456,154.806519,65.595085,7.143161,27.309376,58.016708
111.78344,269.379303,124.818718,149.633057,64.626099,7.080884,26.525013,55.263054
115.775703,273.864319,126.502579,152.737137,64.849731,7.218782,26.917194,56.11763
118.969521,277.227997,129.703323,157.512665,65.967804,7.347742,26.773897,56.212589
123.760231,278.255829,129.703323,156.159576,67.235046,7.441159,27.437592,56.449974
129.349396,270.874329,129.113739,153.055511,64.737877,7.410019,27.482838,54.978191
126.554832,269.93985,129.029785,152.498367,64.961502,7.383329,27.211336,54.788284
127.752487,278.909912,131.892838,153.453476,67.085953,7.592359,27.754351,57.162125
133.341675,276.293671,132.988052,153.533066,67.085953,7.583463,27.829775,58.396523
142.52388,281.152374,137.872665,157.27388,67.27227,7.610152,28.357704,60.817844
141.326187,280.591736,138.546219,158.467773,67.384056,7.525678,28.614134,60.390553
138.930847,271.808624,134.420029,152.418762,66.974098,7.458951,27.51301,57.921753
130.147858,265.361511,129.534515,145.494247,64.402481,7.205439,25.846237,52.984161
130.147858,265.735229,132.65126,148.041229,64.737877,7.321052,24.888412,52.604347
136.136246,272.088959,137.115128,151.543243,65.893257,7.427813,26.261049,55.642864
137.333939,272.836517,132.735229,152.100403,65.595085,7.423365,26.374176,56.07016
134.539352,269.285828,130.208954,146.92691,65.520622,7.24543,24.390644,52.41444
129.748642,268.164642,127.597809,143.265686,64.402481,7.227636,23.568575,50.42041
128.550949,271.808624,124.649872,144.857529,64.7752,7.392226,25.197632,50.42041
130.147858,275.172455,126.249786,147.08609,67.048645,7.418917,25.627523,50.467892
132.543213,274.89209,130.966476,157.512665,66.116898,7.521228,27.656305,55.215576
133.740891,278.442719,132.904068,158.069809,67.831314,7.543471,27.81469,53.363976
128.95018,274.798615,128.608139,152.657562,68.986702,7.267673,26.61552,51.464905
131.744766,279.190216,131.808868,159.104492,68.502205,7.418917,27.143457,54.123604
132.143982,278.255829,129.871277,157.035126,68.315796,7.365535,26.61552,52.366962
127.752487,275.078949,124.902679,148.757523,69.694817,7.085332,25.951824,48.806202
124.558685,274.798615,122.122688,150.667755,66.862328,7.196541,26.623058,48.331432
122.961777,277.414886,125.323441,154.090195,68.353111,7.223231,27.000156,47.22047
131.744766,285.076691,127.765732,160.218765,69.284882,7.659084,29.134527,50.183029
130.147858,283.301483,127.261032,155.841248,72.154678,7.543471,28.516088,48.616295
131.345551,284.329285,130.040115,166.506561,70.701126,7.650188,29.617212,48.853676
130.946289,284.329285,127.092163,164.516769,71.70742,7.503435,28.191784,48.901154
130.547104,284.609589,132.65126,161.969803,70.961983,7.596807,28.282286,48.663769
126.155579,279.844238,127.008217,155.841248,67.160416,7.329949,26.864401,44.960571
129.748642,287.506104,129.956146,158.786118,68.763062,7.405571,28.335083,47.19199
134.140106,290.122406,133.745544,161.492264,66.787781,7.605703,28.847931,48.663769
134.539352,291.897644,130.966476,161.492264,68.054939,7.650188,28.787598,47.040062
136.934708,293.018921,136.356705,167.22287,67.756775,7.792534,30.288448,49.70826
136.535477,292.364838,132.229614,166.9841,68.800385,7.774742,30.356321,51.322472
139.330063,293.112366,130.545715,166.745331,68.129486,7.885952,30.220568,53.079117
143.721558,291.243591,133.072006,166.426956,68.166733,7.694672,28.614134,50.847702
146.516144,292.645172,137.451904,166.824921,69.545731,7.841467,29.270281,53.553883
143.721558,290.682953,134.503967,164.03923,67.197739,7.676878,28.764973,50.990135
142.923096,289.561646,135.177551,165.551437,67.756775,7.743602,28.86302,50.562843
141.326187,290.589569,135.093567,166.506561,66.564148,7.770294,28.976143,49.375923
138.930847,290.776428,135.177551,167.859634,67.495911,7.774742,28.576424,48.189003
137.333939,297.784241,139.135818,173.351471,67.309509,7.992668,30.363865,50.135551
137.73317,298.064514,141.07338,173.033096,69.247566,7.841467,30.55241,53.363976
137.333939,294.79422,140.736633,172.396378,69.284882,8.344046,31.246271,54.455944
137.333939,296.102325,139.894211,173.033096,68.204025,8.388528,31.155769,55.690346
146.116913,292.551727,143.68454,178.286179,67.719536,8.628697,33.214718,59.678394
144.91925,292.364838,145.031647,178.286179,67.644997,8.690974,32.716949,64.093742
139.330063,291.991119,142.673309,171.839203,67.831314,8.477497,31.050175,60.10569
134.539352,290.776428,138.378265,164.516769,65.967804,8.259526,29.142067,54.123604
136.934708,292.084503,142.252579,165.790222,66.564148,8.473047,29.92643,58.016708
140.128525,292.458252,142.08371,168.496368,67.085953,8.553074,30.182859,60.248119
143.721558,295.448273,141.915802,168.496368,69.732132,8.65094,30.688168,61.292614
140.52774,292.271423,141.410156,166.586136,66.377831,8.3307,29.617212,58.159138
144.120789,281.993347,143.17894,166.347366,67.943169,8.348495,30.25074,59.44101
139.729279,281.339264,142.420486,162.447388,66.638687,8.121671,29.08173,56.972218
137.73317,282.927673,141.999756,162.049423,67.831314,8.713217,29.330616,56.07016
140.128525,288.253601,144.778839,164.03923,67.905853,9.046801,30.409117,59.535969
139.330063,288.440491,142.08371,161.412643,67.682228,8.873358,29.670006,58.159138
140.52774,290.21582,145.537277,162.208588,67.905853,8.837771,29.617212,56.449974
138.930847,289.561646,144.274139,164.994308,67.384056,8.873358,29.398493,56.592403
134.938583,286.665161,144.778839,163.95961,64.849731,8.735458,28.719727,54.123604
130.547104,286.197968,143.010086,164.835129,63.768887,8.655388,28.501007,53.886223
126.554832,280.031158,138.041489,160.69635,63.35894,8.406323,27.120829,50.562843
133.740891,277.788605,139.641434,161.810608,61.942696,8.464151,26.653227,50.183029
130.147858,276.854279,138.715042,157.910599,61.16003,8.352942,26.200712,48.37891
130.547104,274.424866,135.683151,155.443268,60.638226,8.388528,26.404341,48.711246
130.147858,278.349335,136.440674,155.920807,59.63192,8.392978,26.5401,48.806202
130.547104,284.796387,140.147034,162.367767,61.420895,8.628697,27.852398,51.844715
128.550949,284.703033,140.736633,164.277969,61.495434,8.633147,27.482838,53.553883
131.345551,291.80423,146.2948,170.326981,64.104301,8.913393,29.571957,57.921753
131.744766,288.440491,145.031647,167.620834,63.135311,8.815528,28.953522,57.969231
130.946289,287.786377,145.621246,169.451477,62.576271,8.837771,30.167774,58.586433
135.337799,286.852051,146.126862,171.361679,63.396183,8.913393,31.502697,61.529999
